Faculty,Number
Faculty of Arts and Humanities,98
Faculty of Social and Historical Sciences,116
Faculty of Brain Sciences,57
Faculty of Life Sciences,25
Faculty of the Built Environment,85
School of Slavonic and Eastern European Studies,3
Institute of Education,510
Faculty of Engineering Science,0
 Faculty of Maths & Physical Sciences,0
Faculty of Medical Sciences,20
Faculty of Pop Health Sciences,0
 Faculty of Laws,0
