Faculty,Number
Faculty of Arts and Humanities,116
Faculty of Social and Historical Sciences,171
Faculty of Brain Sciences,33
Faculty of Life Sciences,37
Faculty of the Built Environment,225
School of Slavonic and Eastern European Studies,8
Institute of Education,45
Faculty of Engineering Science,0
 Faculty of Maths & Physical Sciences,0
Faculty of Medical Sciences,27
Faculty of Pop Health Sciences,0
 Faculty of Laws,0
