Faculty,Number
Faculty of Arts and Humanities,31
Faculty of Social and Historical Sciences,134
Faculty of Brain Sciences,18
Faculty of Life Sciences,62
Faculty of the Built Environment,67
School of Slavonic and Eastern European Studies,2
Institute of Education,20
Faculty of Engineering Science,0
 Faculty of Maths & Physical Sciences,0
Faculty of Medical Sciences,42
Faculty of Pop Health Sciences,0
 Faculty of Laws,0
