Faculty,Number
Faculty of Arts and Humanities,6
Faculty of Social and Historical Sciences,10
Faculty of Brain Sciences,3
Faculty of Life Sciences,1
Faculty of the Built Environment,12
School of Slavonic and Eastern European Studies,2
Institute of Education,5
Faculty of Engineering Science,0
 Faculty of Maths & Physical Sciences,0
Faculty of Medical Sciences,0
Faculty of Pop Health Sciences,0
 Faculty of Laws,0
