Faculty,Number
Faculty of Arts and Humanities,608
Faculty of Social and Historical Sciences,595
Faculty of Brain Sciences,211
Faculty of Life Sciences,156
Faculty of the Built Environment,365
School of Slavonic and Eastern European Studies,43
Institute of Education,415
Faculty of Engineering Science,0
 Faculty of Maths & Physical Sciences,0
Faculty of Medical Sciences,112
Faculty of Pop Health Sciences,0
 Faculty of Laws,0
